customer,vpc_part,item_description,media_color,date,test_no,format,notes,url
Test Results(Database),ALL,ALL,ALL,12/6/2025,,Excel,,https://docs.google.com/spreadsheets/d/1ISW_r6M102m7IEoSpSX26X7DxIjv0MpC/edit?usp=drive_link&ouid=105071324239867353873&rtpof=true&sd=true
Blue Heaven,LAM10-N100-F0067,100 / .67 oz (Sample A),White,12/5/2025,25-708-1,PDF,MERV 7,https://drive.google.com/file/d/1LNV_PxqdI147ogeMUl69IZ57EpKm0_rH/view?usp=sharing
Blue Heaven,LAM10-N100-F0067,100 / .67 oz (Sample B),White,12/8/2025,25-708-2,PDF,MERV 7,https://drive.google.com/file/d/1wSDIOsYiN229Bz-ybBGSL9pysVLGbVer/view?usp=drive_link
Blue Heaven,LAM10-N200-F0110,200 / 1.1 oz,White,12/9/2025,25-708-3,PDF,MERV8,https://drive.google.com/file/d/1C8J32XjjX8gu21U3WsKqRG6C0fQz40cm/view?usp=drive_link
Blue Heaven,LAM-DBH100-0080 ,100 / .80 oz ,Blue,12/10/2025,25-696-1,PDF,MERV8,https://drive.google.com/file/d/18J6HHj0wcIF2sUFph7eUCC7Eh1P-95nW/view?usp=drive_link
Blue Heaven,LAM-GH100-0054 ,100 / .54 oz,Green,12/10/2025,25-696-2,PDF,MERV 7,https://drive.google.com/file/d/1uuRNUQifDMx1kHhoSQksPrc48HUQFRjd/view?usp=drive_link
Blue Heaven,LAM-DYH125-0090 ,125 / .90 oz,Yellow,12/10/2025,25-696-3,PDF,MERV9,https://drive.google.com/file/d/1A78cOOch_uYL9v9MoBlvXzcV-KalR99t/view?usp=drive_link
